"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1926","Manitoba","2016A000246","Colonies","Number","223","units ","0","v47865","7.2","21450","","","","0"
"1926","Manitoba","2016A000246","Average yield per colony","Pounds","254","units ","0","v47875","7.3","82","","","t","0"
"1926","Manitoba","2016A000246","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47885","7.4","1762","","","","0"
"1926","Manitoba","2016A000246","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47895","7.5","264","","","","0"
"1926","Manitoba","2016A000246","Value of natural honey and wax","Dollars","81","thousands","3","v47905","7.6","277","","","t","0"
"1926","Saskatchewan","2016A000247","Beekeepers","Number","223","units ","0","v47856","8.1","870","","","","0"
"1926","Saskatchewan","2016A000247","Colonies","Number","223","units ","0","v47866","8.2","1590","","","","0"
"1926","Saskatchewan","2016A000247","Average yield per colony","Pounds","254","units ","0","v47876","8.3","107","","","t","0"
"1926","Saskatchewan","2016A000247","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47886","8.4","170","","","","0"
"1926","Saskatchewan","2016A000247","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47896","8.5","38","","","","0"
"1926","Saskatchewan","2016A000247","Value of natural honey and wax","Dollars","81","thousands","3","v47906","8.6","40","","","t","0"
"1926","Alberta","2016A000248","Beekeepers","Number","223","units ","0","v47857","9.1","150","","","","0"
"1926","Alberta","2016A000248","Colonies","Number","223","units ","0","v47867","9.2","2560","","","","0"
"1926","Alberta","2016A000248","Average yield per colony","Pounds","254","units ","0","v47877","9.3","84","","","t","0"
"1926","Alberta","2016A000248","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47887","9.4","215","","","","0"
"1926","Alberta","2016A000248","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47897","9.5","37","","","","0"
"1926","Alberta","2016A000248","Value of natural honey and wax","Dollars","81","thousands","3","v47907","9.6","38","","","t","0"
"1926","British Columbia","2016A000259","Beekeepers","Number","223","units ","0","v47858","10.1","2470","","","","0"
"1926","British Columbia","2016A000259","Colonies","Number","223","units ","0","v47868","10.2","16990","","","","0"
"1926","British Columbia","2016A000259","Average yield per colony","Pounds","254","units ","0","v47878","10.3","53","","","t","0"
"1926","British Columbia","2016A000259","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47888","10.4","898","","","","0"
"1926","British Columbia","2016A000259","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47898","10.5","198","","","","0"
"1926","British Columbia","2016A000259","Value of natural honey and wax","Dollars","81","thousands","3","v47908","10.6","207","","","t","0"
"1927","Canada","2016A000011124","Beekeepers","Number","223","units ","0","v47849","1.1","22810","","","","0"
"1927","Canada","2016A000011124","Colonies","Number","223","units ","0","v47859","1.2","323750","","","","0"
"1927","Canada","2016A000011124","Average yield per colony","Pounds","254","units ","0","v47869","1.3","72","","","t","0"
"1927","Canada","2016A000011124","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47879","1.4","23231","","","","0"
"1927","Canada","2016A000011124","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47889","1.5","2753","","","","0"
"1927","Canada","2016A000011124","Value of natural honey and wax","Dollars","81","thousands","3","v47899","1.6","2882","","","t","0"
"1927","Prince Edward Island","2016A000211","Beekeepers","Number","223","units ","0","v47850","2.1","10","","","","0"
"1927","Prince Edward Island","2016A000211","Colonies","Number","223","units ","0","v47860","2.2","150","","","","0"
"1927","Prince Edward Island","2016A000211","Average yield per colony","Pounds","254","units ","0","v47870","2.3","27","","","t","0"
"1927","Prince Edward Island","2016A000211","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47880","2.4","4","","","","0"
"1927","Prince Edward Island","2016A000211","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47890","2.5","0","","","","0"
"1927","Prince Edward Island","2016A000211","Value of natural honey and wax","Dollars","81","thousands","3","v47900","2.6","0","","","t","0"
"1927","Nova Scotia","2016A000212","Beekeepers","Number","223","units ","0","v47851","3.1","250","","","","0"
"1927","Nova Scotia","2016A000212","Colonies","Number","223","units ","0","v47861","3.2","1400","","","","0"
"1927","Nova Scotia","2016A000212","Average yield per colony","Pounds","254","units ","0","v47871","3.3","34","","","t","0"
"1927","Nova Scotia","2016A000212","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47881","3.4","48","","","","0"
"1927","Nova Scotia","2016A000212","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47891","3.5","6","","","","0"
"1927","Nova Scotia","2016A000212","Value of natural honey and wax","Dollars","81","thousands","3","v47901","3.6","7","","","t","0"
"1927","New Brunswick","2016A000213","Beekeepers","Number","223","units ","0","v47852","4.1","400","","","","0"
"1927","New Brunswick","2016A000213","Colonies","Number","223","units ","0","v47862","4.2","2100","","","","0"
"1927","New Brunswick","2016A000213","Average yield per colony","Pounds","254","units ","0","v47872","4.3","31","","","t","0"
"1927","New Brunswick","2016A000213","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47882","4.4","65","","","","0"
"1927","New Brunswick","2016A000213","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47892","4.5","10","","","","0"
"1927","New Brunswick","2016A000213","Value of natural honey and wax","Dollars","81","thousands","3","v47902","4.6","11","","","t","0"
"1927","Quebec","2016A000224","Beekeepers","Number","223","units ","0","v47853","5.1","7890","","","","0"
"1927","Quebec","2016A000224","Colonies","Number","223","units ","0","v47863","5.2","101900","","","","0"
"1927","Quebec","2016A000224","Average yield per colony","Pounds","254","units ","0","v47873","5.3","43","","","t","0"
"1927","Quebec","2016A000224","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47883","5.4","4348","","","","0"
"1927","Quebec","2016A000224","Value of natural honey, total [16133111]","Dollars","81","thousands","3","v47893","5.5","679","","","","0"
"1927","Quebec","2016A000224","Value of natural honey and wax","Dollars","81","thousands","3","v47903","5.6","710","","","t","0"
"1927","Ontario","2016A000235","Beekeepers","Number","223","units ","0","v47854","6.1","8500","","","","0"
"1927","Ontario","2016A000235","Colonies","Number","223","units ","0","v47864","6.2","162000","","","","0"
"1927","Ontario","2016A000235","Average yield per colony","Pounds","254","units ","0","v47874","6.3","82","","","t","0"
"1927","Ontario","2016A000235","Production of natural honey, total [16133111]","Pounds","254","thousands","3","v47884","6.4","13284","","","","0"
